"State","District","EstimatePopulation","EstimateHouseholds"
"16","2016","1530061","607097"
"17","2016","1199976","461771"
"18","2016","1720470","658595"
"19","2016","1576738","578165"
"20","2016","842729","348537"
"21","2016","1554403","552638"
"22","2016","2163824","817306"
"23","2016","2947471","1138043"
"24","2016","2003763","783553"
"25","2016","1423320","516980"
"26","2016","2329872","888419"
"27","2016","481217","190387"
"28","2016","734617","290466"
"29","2016","524286","194611"
"30","2016","734534","290307"
"31","2016","2526366","913551"
"32","2016","650808","230778"
"33","2016","4678985","1754769"
"34","2016","3224381","1224696"
"35","2016","363248","147190"
"36","2016","3551847","1358795"
"37","2016","1524896","563522"
"38","2016","1251229","487486"
"39","2016","4342022","1674633"
"40","2016","278941","105471"
"41","2016","1631899","607706"
"42","2016","467157","179930"
"43","2016","2222420","847445"
"44","2016","7335767","2536067"
"45","2016","763995","236939"
"46","2016","411518","167184"
"47","2016","2845524","1060322"
"48","2016","1870923","712470"
"49","2016","1095915","432858"
"50","2016","2186416","867410"
"51","2016","263158","102195"
"1","2017","2251824","869033"
"2","2017","311809","110632"
"3","2017","1438219","536703"
"4","2017","1359759","537220"
"5","2017","6931018","2411586"
"6","2017","1652512","640232"
"7","2017","1022621","392043"
"8","2017","260207","100829"
"9","2017","103197","43013"
"10","2017","5016338","1951628"
"11","2017","3509532","1288591"
"12","2017","342167","113306"
"13","2017","710719","262321"
"14","2017","3679375","1394482"
"15","2017","2475761","925329"
"16","2017","1582115","625155"
"17","2017","1230253","474901"
"18","2017","1742029","678245"
"19","2017","1599759","598037"
"20","2017","868088","364663"
"21","2017","1598123","579352"
"22","2017","2200085","850054"
"23","2017","3001109","1162155"
"24","2017","2064528","809879"
"25","2017","1447657","539212"
"26","2017","2378356","925311"
"27","2017","508854","206622"
"28","2017","753483","296687"
"29","2017","562062","215553"
"30","2017","755739","300302"
"31","2017","2543715","937232"
"32","2017","674604","254119"
"33","2017","4734487","1809847"
"34","2017","3322812","1296365"
"35","2017","382977","156629"
"36","2017","3608249","1388238"
"37","2017","1552811","592195"
"38","2017","1308148","521208"
"39","2017","4379134","1710509"
"40","2017","279908","107580"
"41","2017","1699636","648989"
"42","2017","469923","183834"
"43","2017","2288797","891165"
"44","2017","7812354","2793581"
"45","2017","820976","257510"
"46","2017","422303","170695"
"47","2017","2926179","1112193"
"48","2017","1953843","763327"
"49","2017","1097684","443862"
"50","2017","2230560","880821"
"51","2017","268998","107666"
"1","2022","2320138","895154"
"2","2022","326504","115547"
"3","2022","1586017","592470"
"4","2022","1428236","563412"
"5","2022","7312621","2550389"
"6","2022","1829028","709185"
"7","2022","1036651","398202"
"8","2022","273027","105773"
"9","2022","104890","43814"
"10","2022","5425330","2111418"
"11","2022","3768926","1385396"
"12","2022","360370","120116"
"13","2022","763793","281390"
"14","2022","3737171","1415296"
"15","2022","2535720","947483"
"16","2022","1628974","643240"
"17","2022","1253534","482757"
"18","2022","1781986","693396"
"19","2022","1635289","611024"
"20","2022","867756","364249"
"21","2022","1677668","608271"
"22","2022","2233452","864380"
"23","2022","3025945","1171108"
"24","2022","2146752","841321"
"25","2022","1477659","550375"
"26","2022","2431854","946544"
"27","2022","530621","215558"
"28","2022","773345","303833"
"29","2022","611625","233927"
"30","2022","772155","306898"
"31","2022","2603575","960200"
"32","2022","709100","267095"
"33","2022","4741954","1813703"
"34","2022","3466724","1354107"
"35","2022","413577","168950"
"36","2022","3622022","1393090"
"37","2022","1608113","613153"
"38","2022","1387484","553760"
"39","2022","4456131","1741523"
"40","2022","283360","109068"
"41","2022","1764651","674103"
"42","2022","481853","188159"
"43","2022","2384069","928602"
"44","2022","8411304","3008614"
"45","2022","903554","283126"
"46","2022","426289","172319"
"47","2022","3053349","1159391"
"48","2022","2053310","805497"
"49","2022","1102724","445443"
"50","2022","2299337","907980"
"51","2022","281246","112540"
"1","2027","2385704","920395"
"2","2027","340310","120386"
"3","2027","1737440","650131"
"4","2027","1506311","593149"
"5","2027","7693919","2686939"
"6","2027","2008776","779602"
"7","2027","1049802","403743"
"8","2027","284814","110362"
"9","2027","107410","45063"
"10","2027","5841414","2274871"
"11","2027","4045638","1487784"
"12","2027","380094","127337"
"13","2027","820648","302004"
"14","2027","3794943","1435368"
"15","2027","2591502","968112"
"16","2027","1675535","661202"
"17","2027","1276863","490939"
"18","2027","1820429","708138"
"19","2027","1674201","625431"
"20","2027","865493","363102"
"21","2027","1752051","635484"
"22","2027","2258364","874976"
"23","2027","3050535","1179996"
"24","2027","2227285","872005"
"25","2027","1506040","561082"
"26","2027","2489388","968817"
"27","2027","548935","223123"
"28","2027","795374","312017"
"29","2027","655952","250596"
"30","2027","788185","313349"
"31","2027","2664607","983353"
"32","2027","743485","280022"
"33","2027","4742292","1814039"
"34","2027","3613922","1413505"
"35","2027","442926","180853"
"36","2027","3633962","1397113"
"37","2027","1662368","634011"
"38","2027","1469296","586968"
"39","2027","4533612","1772464"
"40","2027","286953","110587"
"41","2027","1831839","700375"
"42","2027","495595","193298"
"43","2027","2480979","966314"
"44","2027","9027313","3229203"
"45","2027","991155","310441"
"46","2027","428947","173390"
"47","2027","3182788","1207808"
"48","2027","2156846","847465"
"49","2027","1105422","446148"
"50","2027","2372937","937156"
"51","2027","292933","117229"
